country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct
POL,Poland,2019,122.5225,116.692094580869,113.695327842383,97.8362248493992,107.744275175419,8.674634676364267,6.291199066489428,4.9166837766946525,16.014108512451465,24.891748481952014
POL,Poland,2020,135.3625,124.692938778737,119.862677996567,98.0508111122656,112.919917286784,10.479707808769835,6.8563720846773535,5.424453468073787,28.172048101505553,31.666443263819268
POL,Poland,2021,147.7725,128.971541561613,124.599453114986,103.807963908398,118.561214526379,9.167974882260598,3.4313112071792773,3.9518348810416715,39.922829277530546,36.86968369534582
POL,Poland,2022,165.205,126.485442435828,142.484728562118,103.097441980566,116.09810025163,11.796849887495986,-1.9276338761891387,14.35421665183927,56.4293154057381,56.516254623662896
POL,Poland,2023,179.78,125.593464137402,158.882253972056,98.5661452939922,113.098577495297,8.8223722042311,-0.7052023389004236,11.508268693363366,70.23009184736296,74.52856575454278
POL,Poland,2024,206.702499998641,139.593765910636,166.651829166296,102.752498888873,124.01902368399,14.975247523996549,11.14731715490973,4.890146633749626,95.72246946183223,83.06326853772006
PRT,Portugal,2010,107.3575,113.455872836507,90.8615000000001,106.896251090405,118.163756027459,,,,0.0,0.0
PRT,Portugal,2011,102.0925,106.029197211291,91.7132100000001,104.008161165123,111.334110109699,-4.904175302144709,-6.545871482490851,0.9373717140923166,-4.904175302144709,0.9373717140923166
PRT,Portugal,2012,94.8725,96.6815684777436,93.5516525000001,98.7585738796077,101.428473285548,-7.0720180228714185,-8.816089322000431,2.004555832251431,-11.629369163775237,2.9607176857084694
PRT,Portugal,2013,93.0850000000001,94.0278127859916,94.7166775000001,97.3306493995,98.2792933024139,-1.8841076181189576,-2.744841373113327,1.245328082259145,-13.294366951540326,4.242916416744147
PRT,Portugal,2014,97.0375,97.7815526887219,98.9102025000001,101.139849215742,98.110967747735,4.246119138421767,3.99215911921067,4.427440985775699,-9.612742472579939,8.858210022946999
PRT,Portugal,2015,100.0,100.0,100.0,100.0,100.0,3.0529434496972874,2.2687789775033718,1.1018049427205412,-6.853270614535544,10.057615161536937
PRT,Portugal,2016,107.115,105.978539383686,101.70465,103.629710800265,105.31439007331,7.115000000000005,5.978539383685999,1.7046499999999964,-0.22588081875976052,11.933712298388066
PRT,Portugal,2017,117.015,113.936341727354,102.71635,110.459391074703,113.916200830114,9.24240302478645,7.508880939430096,0.9947431115489902,8.99564539040123,13.04716519097735
PRT,Portugal,2018,129.0325,123.621273631319,104.656925,116.702596703084,123.282076508155,10.270050848181867,8.500300919912561,1.889256189496602,20.189553594299415,15.18291575639834
PRT,Portugal,2019,141.8825,134.715209601523,107.970225,123.221325826745,131.39229091877,9.958731327378768,8.97413175283237,3.165867906017694,32.15890832033159,18.829454719545534
PRT,Portugal,2020,154.3275,145.906355993891,110.761675,136.622368055767,139.330692173374,8.771342484097744,8.307262725174503,2.585388703228131,43.75101879235264,21.90165801797226
PRT,Portugal,2021,168.84,156.447491195277,112.7587,142.027848205677,149.715861151662,9.403703163726496,7.224589449569518,1.8029927770593979,57.26893789441818,24.099536107151962
PRT,Portugal,2022,190.17,164.274209173545,115.786825,148.207582044813,164.218634190771,12.633262260127932,5.002776278782717,2.685491230388415,77.13713527233774,27.432218266262232
